Siruta,Localitate,Judet,Numar absolventi,Populatie
26320,Sarata,BC,18,153
26338,Buciumi,BC,27,274
26346,Gioseni,BC,42,430
26353,Odobesti,BC,31,265
26361,Prajesti,BC,4,138
26379,Itesti,BC,10,133
26564,Municipiul Oradea,BH,9416,45504
26582,Sanmartin,BH,74,754
26653,Santandrei,BH,31,293
26699,Oras Alesd,BH,309,2156
26742,Astileu,BH,25,221
26804,Municipiul Beius,BH,624,3181
26840,Oras Stei,BH,367,1812
26877,Municipiul Marghita,BH,558,3062
26920,Oras Nucet,BH,31,163
26975,Municipiul Salonta,BH,436,2971
27007,Oras Vascau,BH,15,133
27070,Abram,BH,32,216
27169,Abramut,BH,18,227
27212,Auseu,BH,23,230
27285,Avram Iancu,BH,36,370
27329,Balc,BH,39,351
27383,Batar,BH,69,618
27436,Biharia,BH,16,222
27506,Boianu Mare,BH,20,120
27560,Borod,BH,44,455
27631,Bors,BH,67,422
27686,Bratca,BH,158,726
27757,Brusturi,BH,33,292
27846,Budureasa,BH,19,191
27908,Buduslau,BH,26,206
27935,Bulz,BH,21,130
27971,Buntesti,BH,46,304
28077,Cabesti,BH,12,137
28139,Capalna,BH,6,79
28193,Carpinet,BH,6,57
28246,Cefa,BH,25,187
28335,Ceica,BH,32,281
28415,Cetariu,BH,12,132
